87 0.985472
20.3862 1287.62 540.624
1317.67 56.1064 560.514
469.537 865.872 610.513
632.952 1393.77 11.1836
293.954 809.385 807.065
406.674 181.517 1153.26
623.252 583.194 471.395
1179.84 565.57 108.231
1905.73 66.9291 0.018895
2072.32 0.0751079 0.018847
547.779 0.783995 1577.24
1306.59 177.152 171.481
0.72954 1691.27 135.456
1190.24 36.658 693.238
1349.97 114.286 378.078
1665.23 1.28254 55.4169
9.21179 1460.79 205.794
50.7171 1042.27 733.301
53.7321 843.582 1173.29
1379.97 5.71579 436.112
1400.69 226.453 93.0304
284.675 1903.59 0.0139518
572.95 627.274 484.243
871.08 47.6989 843.264
0.398345 813.381 1184.98
971.394 0.141172 1233.62
1609.7 0.00429022 289.002
351.835 579.312 915.579
1003.95 262.331 468.717
2111.89 0.0168761 0.117134
808.329 1.43596 1188.07
818.928 563.768 694.21
875.944 0.00302884 1446.51
0.028092 0.00400932 1949.28
746.574 1.95085 1263.4
809.798 150.587 878.439
2255.48 32.0546 0.00480186
713.666 680.697 231.636
2305.96 0.00829184 0.000987199
1157.7 523.155 206.16
1799.79 0.00222298 149.495
2331.42 0.00165079 0.0177237
599.137 1.04425 1517.85
1664.79 238.845 20.0604
2140.57 0.000580197 68.1115
309.428 937.406 440.007
488.795 176.511 971.588
1960.13 0.0152768 6.12438
2069.04 0.000152289 219.767
188.984 710.871 886.658
177.706 976.904 711.481
201.756 912.668 811.245
645.516 123.172 1122.28
1616.26 304.609 0.823181
2049.82 0.00155343 0.19338
1258.9 198.737 200.391
282.489 1013.16 616.009
1376.66 455.4 51.5084
1578.91 21.3417 221.239
297.005 15.5013 1465.76
578.8 1180.4 13.887
924.719 413.452 681.871
26.4046 1047.51 836.702
44.3866 996.924 777.542
469.96 1618.94 0.0138716
948.415 1041.69 43.7448
9.01419e-05 1.52023e-05 2163.98
0.351464 387.202 1311.25
2.68213 1123.03 635.019
1711.04 289.655 3.95109
1982.69 35.8879 0.0142556
624.963 1449.52 0.0106032
867.86 10.2394 1124.67
1288.08 50.1805 629.971
1386.61 112.737 250.883
1.32671e-06 0.999395 2378.58
0.00771654 521.726 1690.48
0.0802781 0.0338177 1909.79
437.283 2.22664 1446.25
544.804 1860.31 0.00754021
836.563 533.903 363.773
1736.93 287.374 3.37526
967.409 1004.98 45.4306
6.6818e-07 9.72134e-07 2430.91
426.299 936.726 483.648
1039.99 400.275 330.302
1187.76 449.828 178.676
200.759 365.019 1128.13
489.216 788.943 697.36
411.728 641.722 739.932
1176.88 806.519 0.0037689
1404.05 638.713 1.10791
1865.74 1.45142 1.8621
2410.51 0.000336386 4.37605
77.5058 2002.91 0.000137628
90.8251 0.141266 1768.69
969.987 514.391 266.155
1296.73 439.036 172.178
2.03262 3.39595 1722.34
111.879 2191.32 6.57524e-05
808.821 12.9614 1077.31
1043.57 919.537 0.000753132
1086.81 1391.93 0.000294191
0.609772 19.3182 1181.55
1.99686 3096.05 9.70575e-06
7.10259 2312.87 2.67545e-05
276.151 780.508 832.707
618.138 1732.28 0.000169369
720.557 334.541 718.047
721.569 6.35162 1404.62
1226.01 373.445 233.239
38.2468 1421.33 2.84405
294.602 981.479 610.613
629.957 1468.21 2.75818e-06
0.191581 4.16598 1739.98
0.318811 3.64665 1466.61
811.926 641.52 455.169
853.886 214.737 683.572
1005.92 0.756495 1210.91
5.97972 0.0303695 1875.87
1503.95 114.203 49.9059
1591.53 452.648 10.702
1236.01 1.2681e-05 1214.23
1.65618 1527.64 0.673932
227.178 1519.78 0.241573
917.177 754.038 52.8683
1140.2 151.578 532.297
1600.52 16.8985 235.452
0.0284354 1983.61 129.822
1215.15 685.575 21.0105
1690.63 2.7579 10.8921
1.51861 1768.8 0.0159001
5.69693 1153.79 554.155
405.147 1432.5 1.02561
547.613 448.78 837.018
632.826 89.7469 1132.13
0.0411996 1701.52 0.263557
15.2671 2299.66 0.00822436
0.0591205 105.287 1371.07
972.459 393.126 606.515
1025.8 979.563 2.1022
176.488 845.742 860.377
554.394 15.7342 1342.67
1192.26 299.745 273.275
1493.79 104.627 258.026
0.157191 616.997 1235.4
1440.01 492.267 0.000984082
1647.09 676.298 0.000788944
1872.1 368.27 0.00110656
198.871 1319.04 317.246
374.27 799.12 687.891
924.652 181.639 767.708
1260.02 633.118 9.75313
1325.8 399.771 160.014
1419.73 3.64873 340.184
889.906 0.00949909 1369.31
1021.61 11.6254 700.317
1222.26 0.000736644 648.811
1348.65 56.0014 554.117
1954.59 0.000144391 557.086
510.125 833.186 653.794
1295.59 452.303 95.2291
1621.81 5.70258 210.146
1811.02 1.2269 69.1542
141.887 650.954 975.456
241.925 308.383 1094.29
816.571 123.514 828.942
1176.03 1008.2 5.52076e-06
1394.88 450.254 12.2302
1434.74 670.514 0.00139611
1764.08 59.1004 0.0358596
2034.64 92.036 5.10366e-07
2216.17 99.712 1.42712e-07
2406.89 48.1342 3.91164e-07
945.364 0.000304706 1332.18
951.529 143.992 685.262
1896.3 79.6026 0.0017435
0.0021494 1953.25 305.082
208.309 1076.7 307.655
591.155 874.534 179.342
1563.74 13.2775 268.765
1900.91 0.35147 61.3774
84.9472 851.646 1004.96
497.275 836.187 653.361
710.8 19.2221 1188.96
1990.4 3.27275 0.0508648
841.442 1089.52 16.9502
416.444 183.328 839.979
546.538 1291.39 59.5111
630.359 546.715 747.985
716.572 12.7699 1244.2
969.763 404.891 485.073
980.854 284.409 661.358
1079 867.03 0.0107851
704.196 1137.58 3.845
720.074 407.159 700.275
1006.28 0.000260288 1054.09
1041.62 0.000183005 1356.4
41.5956 1138.53 606.531
1200.55 7.01974e-06 1297.32
1587.13 2.2771e-05 597.248
22.3246 0.182463 1821.82
1053.17 818.063 0.0179689
16.1402 0.0173881 1873.11
76.4557 2079.55 0.0143886
324.429 766.95 877.468
1135.84 0.000271315 716.533
252.333 1.84455e-05 1896.73
523.163 1985.99 0.00851135
