1350 6.44785
6.13606 6.75171 10.0233
0.00783399 0.000303735 14.0585
0.00751088 0.000431869 13.5267
3.82609 6.50946 10.2625
9.42436 5.13878 7.19232
7.34289 7.19795 5.29518
7.69952 6.20558 8.24721
10.5423 5.23543 4.78476
0.217927 13.4323 0.00550213
5.44902 12.2048 0.00574029
0.0975772 6.00928 12.0482
5.74158 0.130176 11.5127
0.00471073 0.00569845 13.7943
7.43348 5.90588 8.99504
7.8207 3.88359 9.59332
5.37 7.57305 9.27154
0.00291861 0.00601945 12.3983
0.177348 10.9304 5.75537
4.96212 1.78757 10.5733
3.64438 0.209543 11.9883
14.0072 0.0652904 0.389961
9.14971 1.56202 7.74116
10.2379 0.588425 7.42607
8.56593 0.1944 9.20685
12.7776 0.289456 1.51599
3.84999 5.58162 10.7592
1.16004 10.5383 6.29046
4.6599 2.31408 10.4303
0.200637 12.3613 3.65192
0.00078406 0.00712164 13.2022
7.02234 8.9102 4.9418
0.206647 5.95612 11.9477
0.122372 7.54045 10.2504
11.538 0.261856 5.50994
1.16859 10.6183 5.10014
9.86672 0.654081 6.62543
10.327 7.00457 0.00481194
4.22004 9.45247 6.67563
0.967524 8.78791 8.8297
8.41622 7.1897 5.28479
6.20213 7.29848 9.56549
0.0033147 0.00591523 12.8343
0.143121 8.81107 7.34906
6.33826 9.18932 5.8774
0.0390231 9.25719 10.1699
8.40098 9.4454 0.00492293
0.201886 12.4247 1.09855
12.8876 0.292158 0.00494818
7.3078 4.07927 9.19437
11.4468 4.1238 0.0047201
0.580505 5.43963 10.9677
0.0536604 12.7052 1.12335
4.90572 10.1187 5.36902
0.220388 13.5564 0.00526004
8.23576 1.44269 9.18571
6.00942 7.47952 9.58191
7.30161 8.91835 4.68505
0.0305149 7.23659 11.4825
0.0584388 13.8745 0.00555228
0.187249 11.5339 4.68913
4.42745 7.90134 9.04555
6.80148 12.1375 0.00523938
2.41593 11.3919 4.18022
2.11888 6.55784 10.9355
0.000121502 0.0074883 13.7028
9.74493 6.28711 4.16285
0.00540032 0.00429068 12.5441
2.652 5.94012 10.3217
12.1599 0.275648 2.39808
0.0401527 9.54204 9.52969
1.24166 11.6342 4.19996
12.2709 0.705164 0.00468949
3.29465 10.1963 3.84637
6.65428 11.8751 0.00533557
0.110017 6.77093 10.745
5.82801 10.4004 2.35064
0.00682785 0.00117652 13.2855
8.63118 6.85749 7.98279
10.534 1.84537 5.63055
6.20977 0.140829 9.85604
2.38042 11.2244 4.66395
5.78679 7.54452 6.37102
3.7626 2.31607 10.8835
5.17563 9.2365 6.82771
10.8992 0.367082 5.74154
1.02987 0.717672 11.8495
0.200224 12.3336 4.42771
7.27869 9.4895 0.00457633
0.00596582 0.00214914 12.1278
7.44712 5.91669 8.51748
10.0697 5.00083 5.91916
0.715787 6.70761 10.703
6.74458 7.06965 9.75829
0.268195 2.4361 11.032
4.8709 8.69222 7.21549
5.21066 11.2555 0.0107188
9.03775 7.28397 4.1666
1.30701 12.2476 0.00471205
1.30278 8.60078 9.62014
0.00213567 0.00660983 13.2201
8.75 9.17183 0.0047568
5.11079 7.46173 10.0023
1.68585 7.94882 8.11524
