7 0.139042
7.59921e-16 12.4104 1.09181
8.06729e-16 13.1749 0
0.636158 6.03843 9.39622
0.82743 11.3285 4.02568
1.13796 8.53928 3.339
1.22593 10.7568 1.68045
1.32247 3.01181 7.8727
5.77415 5.77415 1.07604
6.56039 1.53982 4.48719
7.01137 6.94954 0
0.10536 0.0686994 11.1152
0.919424 6.07576 5.40166
3.1312 2.65708 6.72701
4.88933 0 6.97664
5.16528e-16 8.43555 8.20165
7.1697e-16 11.709 7.24624
0.846353 10.8063 3.78755
0.961915 12.8188 0
1.01835 3.65991 3.78358
1.43071 8.30884 3.45232
2.77603 9.07542 0
3.38588 3.38588 5.14601
3.56373 8.35427 0
5.1898 6.19166 1.90058
11.1021 2.87286 1.00497
11.736 1.04903 0
15.7076 0 0
7.12174e-16 6.3574e-17 11.6769
1.01172 8.07356 3.48776
1.51909 1.58001 7.46396
2.23624e-16 6.72878e-16 11.5799
9.42462 0 1.67991
0.132474 8.07247 8.07356
0.91583 5.52147 10.058
1.57468 1.20655 10.6459
1.67135 0 10.0735
2.58406 7.35509 0.194979
3.67578 2.32294 2.15279
4.3475 1.4347 4.57811
6.45425 6.40459 0.109128
8.97297 3.91738 0
13.5454 0.294514 0.614177
