259 8.54888
1.08597 0 0
0.0463151 1.09138 0
1.87494e-06 1.5331e-125 1.72269
9.74615e-08 1.10064 1.05016e-162
2.33207e-11 8.94099e-07 1.10043
7.54348e-07 4.14385e-07 1.46979
0.0330598 2.0015e-92 1.27563
0.135236 2.64678e-148 1.12024
6.83172e-07 4.20095e-07 1.36959
0.000406738 2.17698e-240 1.29111
8.1468e-07 9.11838e-11 1.39125
8.11726e-07 2.62852e-07 1.45707
0.841183 0.160963 0.691393
1.07063 0.129417 0.131977
3.8361e-07 7.35027e-07 1.41589
0.417679 0.87223 0.581034
0.915284 0.339549 0.524439
0.18223 0.240706 1.04607
0.229297 1.04188 0.249921
7.99485e-07 2.63661e-07 1.43763
0.887644 0.608127 0.22857
0.0999264 0.13688 1.074
1.07533 0.175709 0.0449084
0.394302 0.343137 0.970955
0.00511031 0.00842612 1.09104
0.0416442 0.54192 0.959277
8.20943e-07 7.65906e-11 1.40194
0.0613898 0.536645 0.953324
0.117227 1.05117 0.291618
0.88149 0.48807 0.470113
0.0937944 1.02838 0.355326
0.974702 0.479001 0.164849
0.377007 0.0276688 1.03436
1.05204 0.149914 0.253242
0.836073 0.503788 0.513163
0.327323 1.05502 0.142605
1.05214 0.245447 0.194116
0.295715 0.910195 0.543916
0.826298 0.303754 0.659965
0.599305 0.32863 0.878596
0.510637 0.278661 0.92533
1.03222 0.382729 6.22663e-232
0.851343 0.00406737 0.716799
0.846363 0.0822181 0.67271
0.712106 0.594038 0.609869
0.426658 0.867337 0.541795
0.148959 0.187706 1.05794
0.681205 0.571931 0.681221
5.91257e-06 5.23167e-166 1.43134
1.08381 0.177095 0.039469
0.616749 0.879993 0.232857
0.128516 1.07772 0.0947074
0.0376246 1.08852 0.0738929
0.137211 1.04418 0.341289
0.401865 0.9848 0.287081
0.25533 0.58918 0.888628
0.848925 0.510807 0.494208
0.531807 0.859904 0.467015
0.969473 0.198253 0.504967
0.125578 0.875535 0.643204
0.767026 0.0337578 0.80035
0.758265 0.62235 0.526732
0.749748 0.0744252 0.806798
0.207676 1.01115 0.355191
0.663945 0.667387 0.560506
0.0067463 0.00722869 1.0947
0.470441 0.40067 0.92022
0.16713 0.0163661 1.07787
0.101938 3.11312e-07 1.1096
0.873338 0.634249 0.163245
0.358403 0.679557 0.821121
0.667475 0.283258 0.829
1.06595 0.063372 0.328139
0.865651 0.613452 0.22147
0.690447 0.720456 0.488604
0.321626 0.893413 0.586379
0.201488 0.582661 0.918097
0.746152 0.273412 0.779435
0.524775 0.956451 0.172361
1.01904 0.122832 0.397124
0.64168 0.0470934 0.901587
0.560877 0.202806 0.92911
0.713783 0.851175 0.0143995
0.454351 0.62327 0.781289
1.0253 0.380165 0.134883
0.700136 0.738446 0.46313
0.0864811 0.969729 0.510833
0.499457 0.989517 0.0295702
0.545931 0.955444 0.0795931
0.388308 0.648234 0.792427
0.235929 0.937781 0.546817
0.366082 0.0405012 1.03651
0.0293445 8.96158e-08 1.1178
0.959714 0.490557 0.0998622
1.06764 0.234222 0.00233816
0.294378 0.256398 1.02837
1.05943 0.167961 0.181248
0.354558 0.715452 0.748893
0.38084 0.899268 0.50165
0.410573 0.824828 0.625824
0.99717 0.0854493 0.442056
0.921329 0.0203593 0.606898
0.575824 0.821601 0.423379
1.03813 0.31264 0.244454
0.361942 1.03656 0.0414154
0.216201 1.06926 0.107752
0.890592 0.609121 0.225227
0.806908 0.103286 0.73586
0.108696 0.964824 0.534809
0.877475 0.660614 0.0655146
0.953262 0.412467 0.377471
0.244804 0.601023 0.898095
0.472406 0.077129 0.99116
0.265237 0.701742 0.798189
0.269729 0.554755 0.918599
0.052725 0.403521 1.02344
0.94402 0.557419 0.0903215
1.0781 0.13032 0.12006
0.33954 0.693305 0.809943
0.496047 0.2823 0.938507
0.430586 0.0316011 1.00586
1.01239 0.0229068 0.44702
0.729871 0.780388 0.260109
0.753077 0.0944122 0.795922
0.832404 0.229236 0.692163
0.309073 1.06448 0.0245491
0.543941 0.93517 0.11267
0.434925 0.548058 0.83942
0.458712 0.578032 0.819235
0.904582 0.109036 0.628789
0.675608 0.769705 0.405177
0.841732 0.569476 0.410889
0.606184 0.22396 0.890814
0.783806 0.617516 0.449282
0.306415 0.011048 1.06552
0.526357 0.438631 0.871574
0.672248 0.797476 0.303268
0.725011 0.775718 0.302758
0.0545949 0.846499 0.710899
0.732271 0.800895 0.00883597
0.0783687 1.00598 0.414697
0.0817986 0.433232 1.01028
0.910861 0.461212 0.384119
0.76232 0.779934 0.128217
0.51408 0.260741 0.955427
0.0502664 0.895188 0.651331
0.492493 0.0494635 0.982357
0.305751 0.216674 1.0164
0.43217 0.712582 0.688042
0.251376 0.522613 0.934368
0.439667 0.238575 0.975691
0.44124 0.965851 0.307429
