123 0.774946
4.97353 2.76379 0.000675247
4.26911 0.994576 0.00416327
0.960143 3.22548 0.0206406
0.780768 4.03393 0.189708
0.812984 4.32307 0.0130853
3.46592 0.803567 0.074615
3.48086 1.048 0.0137782
3.68374 0.860658 0.0432598
3.48716 0.785785 0.229862
2.93239 0.782168 0.614516
4.59708 0.785466 0.250297
0.793467 3.35155 0.057028
1.80201 0.929128 0.907533
1.19151 1.77758 1.10867
1.25272 2.58152 0.0429755
1.38885 1.71512 0.972922
1.5227 1.8879 0.186871
1.65786 1.96914 0.0562599
2.10922 1.87514 0.0136019
2.17774 0.744911 0.83187
2.2258 0.894256 0.603915
2.67037 0.777175 0.743147
0.880966 2.05251 0.755423
1.93426 1.83471 0.0824748
2.04718 1.54208 0.140979
4.12624 0.967995 0.0162743
0.837018 3.69322 0.0186215
0.879577 3.41302 0.0325319
1.5992 2.45318 0.02671
0.70381 2.21089 1.37974
0.722845 2.25509 0.935168
0.793692 2.70306 0.310193
0.861733 2.67417 0.15784
2.45092 0.79671 0.491388
2.72665 0.763122 0.712725
2.78067 0.771279 0.681449
0.692466 2.36079 1.3813
0.709032 2.3631 1.11581
0.727516 2.30214 0.892028
0.740925 2.03258 1.28483
0.760322 2.49624 0.513459
0.783822 1.91416 1.25682
0.805183 2.16148 0.673141
0.815108 1.9161 1.22313
0.853821 2.50461 0.271058
0.909538 2.29218 0.357729
0.968559 2.2926 0.302515
0.991223 2.54883 0.262346
1.00327 2.26639 0.187779
1.13514 2.17462 0.566846
1.2258 1.98973 0.428818
1.23386 1.73463 1.27252
1.29913 2.17551 0.405129
1.31918 1.73889 1.05856
1.34879 2.25338 0.217843
0.672332 2.12878 1.45305
0.839987 2.25849 0.429573
0.994703 2.04013 0.636715
2.55245 0.854771 0.324681
3.25005 0.786523 0.429511
0.000215634 0.000127979 2.35768
2.83997 1.00038 0.0228162
2.98544 0.76486 0.57952
2.74334 2.19299 0.00428462
0.790128 3.3843 0.106239
0.800553 2.76973 0.0616249
2.99006 0.873762 0.101512
1.96457 0.706232 0.962851
0.797845 3.23383 0.178638
2.66707e-05 3.34731e-05 2.59777
1.11347 0.641098 1.29391
2.1434 0.786188 0.610757
2.90222 0.995321 0.0590466
1.9493 0.832993 0.908185
2.26603 1.32445 0.126914
0.00157794 0.00182945 1.96682
1.19288 0.90372 1.27563
1.41166 0.680212 1.0731
1.44224 0.556984 1.50088
1.47978 1.01955 0.72729
1.59847 1.42362 0.347344
1.64177 1.17055 0.404425
1.66151 0.936391 0.950124
1.76154 1.01135 0.319176
2.0222 0.991411 0.872488
2.09788 0.942845 0.681721
2.20638 0.972822 0.505678
0.00269591 0.0046055 1.96327
1.32103 0.813477 1.25837
1.71017 0.655494 1.25932
1.74986 0.751825 0.915416
2.67682 0.811801 0.105187
1.06647 0.988814 1.32108
1.61691 0.628817 1.28596
2.13941 0.763339 0.841778
1.1702 2.95706 0.0022057
1.18077 2.68952 0.00175287
1.48435 1.44486 0.600084
1.82295 1.20671 0.185014
2.3387 1.75397 0.0107293
2.35646 1.00177 0.0340892
2.45083 1.06774 0.00595472
3.07645 1.32015 0.00446377
3.25182 1.42283 0.00146906
0.000296674 0.000332462 2.27802
1.36999 0.585213 1.34731
0.200969 0.224881 1.72916
1.42087 0.869741 0.974111
1.32408 1.50703 1.11839
0.896358 0.856513 1.45473
0.656805 0.747142 1.47266
1.08262 2.25426 0.0714739
1.11037 1.83536 0.967579
1.27813 1.76728 1.21063
0.0221193 0.0258962 1.73022
1.23868 1.14178 1.23117
0.000796355 0.000766905 2.04631
0.779941 3.42008 0.427194
1.51102 3.23402 0.00170671
2.26068 0.931955 0.178775
1.46246 1.47343 0.609142
0.00701243 0.00769733 1.85456
0.292861 0.326419 1.56975
0.97253 1.27926 1.4124
1.16423 1.80694 1.1101
0.00310193 0.00357348 1.95556
0.693369 0.724915 1.54474
0.744215 0.880897 1.45162
0.938235 1.18985 1.44
1.12365 1.01388 1.27971
