733 30.5757
72.393 0.957215 2.17235e-09
6.50392 70.0522 2.11097e-09
0.0245509 0.000314897 61.7809
0.000510898 0.0257151 64.7177
65.0146 0.813858 1.24289e-08
1.29447 63.7761 1.21937e-08
61.932 8.0693 6.65185e-09
5.74471 60.8805 4.16893e-08
60.2412 0.781011 6.41597
5.88163 62.5346 1.20066e-08
64.3902 16.0649 4.11937e-09
21.0736 50.2141 12.733
57.7171 0.778333 7.9277
54.1113 0.769818 10.9418
60.6923 0.777757 8.56235
58.1179 0.776465 9.17171
10.5161 59.3546 6.56568e-08
38.597 22.5682 28.1248
43.1089 21.5535 26.7124
0.852489 56.4102 0.000256148
37.8727 35.1537 10.4477
14.582 5.04091 51.4503
56.6645 0.78531 0.760096
0.0517489 3.55324 53.8676
3.02174 57.6378 9.45942e-07
9.51945 50.9681 14.7705
0.204838 0.144332 59.9559
20.6866 6.87386 49.5095
0.115929 0.208572 58.9773
0.110271 0.229535 60.9294
59.0048 0.784434 2.99038
0.892299 58.1649 4.37172e-05
2.55456 2.37115 52.8338
0.847441 55.62 0.000392761
20.8525 49.6829 14.0439
57.0644 0.782627 4.79274
0.78704 59.1511 0.000682243
10.8758 34.657 41.3696
26.4061 6.18381 46.1023
0.0184112 0.0173493 63.6546
27.8864 6.53089 45.0923
28.4468 41.6209 19.3575
11.2308 26.7428 45.6658
1.13882 0.0158594 56.39
32.6633 7.63936 43.5411
45.4449 15.7089 24.2475
43.9751 21.9901 23.5687
60.4799 0.78522 1.44229
6.2022 33.2165 42.3183
57.5063 0.782166 5.48363
24.633 17.3691 44.5808
49.1646 16.9956 13.5585
7.14696 14.8483 51.1941
1.63914 3.01952 52.0807
1.90444 35.7674 40.794
22.8136 5.34023 48.6246
2.87821 54.0018 1.95513e-05
0.244256 0.00317768 60.3742
0.0151933 0.0196113 62.4228
8.92397 47.7415 21.7919
56.1125 0.783034 4.34799
1.97577 2.89045 53.0731
12.0733 38.4711 37.3657
9.99839 53.5683 1.02406e-05
45.316 24.7674 16.4753
0.922773 0.0124156 58.3703
57.7119 0.784519 2.79461
8.28864 44.346 28.3784
0.912415 0.0152901 57.7179
38.6639 9.04919 36.7982
18.3144 33.752 37.8554
0.5201 0.482723 55.6598
12.6671 26.3223 45.9906
15.9491 50.8336 15.1772
11.7248 24.3604 46.7283
43.9159 25.6799 13.0793
5.30803 29.8151 44.7925
6.64882 21.1879 50.4357
1.15986 0.0158593 57.4316
13.859 44.1677 30.1303
29.0819 42.5501 16.0812
39.2111 1.15188 37.4266
16.8662 31.0807 40.2746
0.00825126 0.0235508 62.791
21.967 23.4897 46.2547
2.98639 1.74629 52.4407
24.9651 23.172 41.9558
34.907 32.4008 22.8305
48.1448 16.1932 18.8489
9.37513 13.7173 51.6173
35.2584 12.1892 38.5146
37.5765 28.7548 24.7662
12.7432 40.5851 33.4044
0.761376 51.9188 13.3496
2.77255 2.12172 52.922
26.8329 39.2617 26.3568
16.3552 33.9833 38.936
21.1293 38.9344 29.7433
5.03181 52.4373 10.6509
0.447123 29.9045 48.2556
28.5774 41.8121 18.7932
14.4638 30.0464 41.7621
54.1923 0.762754 13.3148
18.0908 16.7921 46.3862
29.6422 16.6704 42.5909
52.7076 0.73305 20.2812
57.9714 0.781364 5.929
3.57943 0.0516997 54.2645
20.922 38.5567 31.1969
0.846221 54.5473 0.000629162
0.0581351 3.50729 53.1727
57.4376 0.782359 5.10084
12.9169 8.74129 52.0104
17.4047 25.4652 44.3619
22.337 0.316481 50.737
49.7039 0.84009 21.5833
23.7025 43.682 20.9478
0.448777 30.4128 43.7454
23.5918 46.5394 16.6459
23.3536 46.0669 17.5769
54.9492 0.785159 1.45128
13.7711 20.1518 49.4079
0.70203 49.9993 25.2053
51.5409 11.8621 13.785
0.786152 54.9331 0.203946
3.15909 1.58011 53.5433
30.1388 21.2511 39.3333
20.9763 6.33756 49.7683
34.2079 39.1414 24.28
14.1243 20.6633 47.037
3.74601 33.4538 42.1584
8.72317 27.7857 45.8508
39.0024 31.4218 19.2314
33.9361 22.7825 34.4904
18.2804 37.9859 34.397
1.54704 29.0515 45.8033
31.9336 13.8027 40.3349
20.0141 36.8794 32.9501
53.7926 0.727761 21.8266
50.2354 11.7521 18.0897
57.9981 0.776844 8.64966
56.4593 0.785371 0.280382
49.0178 11.4728 19.8434
55.6695 0.783906 3.41729
21.0613 30.8176 39.8126
52.1486 0.733204 20.0257
0.85132 0.293829 56.9626
42.4709 28.5069 19.6407
0.224112 0.0772948 58.5922
56.39 0.784779 2.20526
37.0599 28.3596 25.8639
9.96028 23.7183 47.6981
45.9126 22.9644 15.6743
39.9775 12.867 33.7099
20.7608 46.2905 21.4861
39.5913 26.5777 24.9591
2.63994 49.4632 20.9782
47.8486 11.2064 20.813
18.8212 27.54 43.2973
27.5234 21.0625 40.1829
16.5861 52.8641 2.00309e-05
19.7344 41.012 30.5287
31.2823 10.8097 43.311
45.7396 0.652082 30.7142
33.2729 30.8833 28.5563
4.67596 48.6741 21.2304
19.5541 36.0373 35.1111
15.2661 5.28018 50.1835
24.2463 18.5539 43.9105
41.4393 9.69897 33.4205
0.0159819 0.0194084 63.2623
0.735164 0.518298 55.0002
4.52593 47.1283 24.7812
27.4366 40.1424 23.308
22.8064 42.0212 22.9189
26.2853 15.3677 43.7915
15.6943 32.6163 41.2242
46.6856 18.5243 18.6378
22.4427 20.8309 44.0391
23.5664 48.9689 1.02126e-05
38.8222 19.4146 32.5997
43.0489 25.1633 21.6497
4.78593 49.8301 18.5758
40.939 9.42385 34.6258
14.391 9.9401 50.5192
28.9646 16.5189 43.2805
17.8673 0.253729 52.3489
58.237 0.785077 1.7681
24.1404 44.4897 18.7828
38.1978 19.1023 33.5373
44.9578 15.5402 25.347
35.5456 29.2199 30.8953
1.02098 1.88162 53.9519
40.336 12.18 35.7986
53.4939 0.720426 23.2279
34.2151 8.01418 40.0231
48.7505 13.0305 20.4732
34.1351 11.7942 41.1324
18.6541 34.3716 35.9907
51.1422 11.9648 14.9624
2.92191 1.96159 53.3472
27.8332 40.7218 21.4157
47.0068 0.637156 33.8804
38.2695 24.0088 30.3035
43.5968 24.5166 22.4421
0.320733 22.4956 50.3473
30.2359 29.5842 35.695
33.8564 19.7944 36.0928
7.96935 42.6579 31.6251
35.7778 20.9204 32.5458
18.9278 37.3405 35.5683
41.1466 14.223 31.7268
47.8645 0.686943 26.531
41.6571 29.3723 17.872
42.8154 30.1885 13.6546
38.3039 29.3112 23.1207
50.8994 15.5016 4.12409e-05
23.2476 34.9095 35.9172
17.6379 25.3544 44.9489
19.813 41.1653 28.7378
19.3372 38.1424 33.5814
6.53707 35.0024 40.5543
43.2226 24.8013 21.0045
10.2752 32.7419 42.9768
17.2983 38.5524 33.1819
0.618304 43.2647 33.978
36.7735 25.93 29.2875
31.5589 18.4505 38.9909
4.95995 15.7962 51.4359
0.844238 50.7308 15.4918
25.4 46.8025 0.264422
0.0131427 0.893264 54.6248
50.5974 0.705393 24.7807
56.3557 0.783905 3.45941
13.4864 9.5094 51.2658
7.32496 39.2418 36.9936
10.693 20.7209 48.39
52.4392 0.748225 16.7311
20.2801 48.2977 14.9225
0.417004 26.1705 49.1877
30.4891 44.6198 13.894
55.7578 0.783035 4.32051
18.4524 38.3398 33.4126
15.0666 3.52711 51.601
18.8785 11.0367 48.9377
26.6326 24.7203 38.7569
49.9426 11.685 18.4937
41.9232 12.6658 32.3321
52.5151 0.747035 17.0468
58.3165 0.783776 3.80119
42.1433 26.4384 22.322
4.32254 45.0584 29.1759
57.8134 0.781022 6.15744
27.1868 9.39864 45.2884
44.416 19.1952 23.1946
21.8014 31.899 38.0888
39.8043 13.3903 33.7092
46.4918 27.1726 10.8879
29.1447 18.2819 43.0866
7.64704 40.9351 33.9788
40.0961 27.6963 21.1582
40.6287 17.5543 31.4894
20.5069 37.7871 31.5295
18.9623 42.2753 29.1454
0.513451 35.2326 40.8536
15.9688 29.4275 41.9306
23.0642 9.96824 47.2189
21.6115 39.8282 29.2072
41.3011 31.6041 13.3706
21.2598 47.4025 18.2159
27.317 8.25433 46.0435
2.07504 0.485822 53.7094
32.5972 10.5057 42.8916
1.14633 0.0158594 56.7616
2.26833 25.8105 48.6919
22.9781 37.6086 32.1183
33.0655 22.196 36.6507
17.7925 42.3707 28.9074
31.0278 10.7215 43.593
43.3741 18.7425 26.1879
41.5759 31.8152 10.585
3.22958 33.6996 42.3978
39.3462 13.2306 35.5483
14.3051 8.39525 51.5292
47.6157 16.4568 19.8579
47.3273 16.3555 21.106
44.6109 10.4412 28.8203
39.6362 21.6647 29.4011
31.6641 21.8692 37.9357
37.3293 1.09288 39.8321
38.956 21.2889 31.994
13.7606 11.0858 51.0403
51.9282 0.760656 13.3521
42.9361 28.825 13.2957
55.0347 0.785122 1.45354
4.19358 43.7762 32.0483
8.11439 25.8431 46.818
0.768467 51.6062 15.7587
20.1515 42.9017 26.2701
48.4432 20.9294 13.5673
5.0922 52.9979 4.12675e-05
25.9829 26.0724 39.2598
14.6788 32.7215 40.8453
23.8702 43.9877 19.2168
21.5641 12.6079 46.9431
27.1216 15.2494 46.0213
0.720742 51.2364 22.3241
16.8445 40.1284 34.1753
37.7173 32.8833 21.7258
58.863 0.785383 0.000267279
34.3659 19.7196 36.7176
22.2039 11.1085 46.6579
23.4115 34.2551 35.0109
58.9475 0.784345 3.1171
30.3441 17.7389 40.7521
0.578455 39.498 36.3542
26.0364 47.9908 8.94834e-07
22.1826 40.8734 25.7747
5.49827 29.4621 45.6544
33.4288 25.5805 33.0547
0.714342 0.503601 55.281
47.5163 23.763 10.7417
32.8014 16.4068 39.118
46.15 0.652051 30.9897
42.2719 29.1918 19.7255
19.0903 27.9322 42.3709
25.7011 17.2511 45.0479
4.5694 47.5191 22.8839
43.0993 10.0818 32.2568
0.786121 53.2104 0.264251
48.9843 16.9233 18.1716
25.5617 14.5774 46.3286
0.665458 47.0603 29.6057
25.1802 0.368931 47.3256
1.1008 33.1173 43.3611
42.6057 14.3385 28.2776
22.089 45.8963 18.3653
33.9048 14.6508 39.3943
9.9901 23.7871 47.3826
3.96268 41.3608 35.0608
46.5676 16.0958 22.1071
36.2536 33.6497 21.5495
20.0938 47.8774 20.4664
16.4452 36.6641 37.238
52.2647 0.751196 15.9596
32.2227 21.6291 38.2577
35.5885 20.8042 34.785
33.0543 7.7345 42.5144
