3 0.0356803
485.396 4617.5 23.0985
131.775 4.48088 4601.96
2981.17 139.169 1613.28
477.109 0.235989 4731.25
550.071 2662.68 2483.94
668.412 2597.45 2084.15
352.476 4177.43 434.965
1043.71 3158.3 887.535
217.388 3714.47 1178.36
376.578 545.541 3835.27
2368.24 2068.79 913.797
2056.45 1696.4 1053.22
620.308 4277.28 115.527
5549.62 86.6158 94.5658
235.062 4.82266 4856.14
6.57056 2922.02 1669.77
1668.35 1513.95 1954.65
2390.82 747.931 1422.79
17.4509 4214.42 393.753
275.01 81.7753 4095.88
1263.62 13.0406 3596.07
1045.19 2029.17 1314.5
3146.07 147.342 2256.44
2122.58 239.48 2157.47
1380.83 1790.2 1707.82
290.559 250.375 4659.52
235.062 4.82266 4856.14
236.96 188.231 4997.52
3378.69 1210.05 835.428
16.3979 4097.27 478.912
1532.01 345.711 3272.48
352.476 4177.43 434.965
17.8881 4101.6 915.3
1515.21 897.759 2877.63
2757.31 326.959 2049.26
705.976 944.833 3041.96
1252.84 1639.2 1942.68
120.401 4774.89 96.3561
2462.27 1482.02 1229.77
63.887 3239.38 1716.02
1005.33 2552.11 1686.25
447.233 2047.8 2027.71
966.096 989.971 2427.89
13.7517 3849.4 579.373
755.845 3264.16 587.342
2908.75 1535.99 735.526
13.5564 3975.57 1152.02
1389.42 998.544 3168
1916.37 88.4768 3196.11
290.559 250.375 4659.52
1251.87 1864.12 1411.66
1363.27 1979.02 1206.87
1837.91 146.431 2939.46
711.44 2949.81 1596.42
33.1301 4184.58 345.834
669.23 2072.33 1686.36
3497.27 1637.78 292.886
2788.45 10.7596 1986.47
711.096 3573.86 712.838
2450.54 196.676 1870.32
1604.2 324.303 2800.2
2640.01 702.049 1638.96
1185.18 159.162 3928.48
396.479 4422.02 101.511
64.9569 27.2624 4546.1
1004.38 2503.95 1518.2
44.2629 24.7869 5369.98
578.078 2820.13 1271.42
940.655 1269.31 3810.47
1604.2 324.303 2800.2
120.334 69.7593 5050.48
131.775 4.48088 4601.96
2933.28 68.9093 1874.15
822.956 1073.3 3152.73
4171.91 53.1578 1590.06
263.159 3833.64 211.44
63.887 3239.38 1716.02
1420.7 3164.4 23.2493
940.655 1269.31 3810.47
620.308 4277.28 115.527
4430.33 108.265 395.782
1515.21 897.759 2877.63
275.01 81.7753 4095.88
1253.46 2391.57 1562.15
485.396 4617.5 23.0985
1011.14 2577.04 946.93
440.75 297.427 3858.63
1226.01 2851.31 655.125
2927.32 55.6772 2079.41
91.3487 496.542 4373.38
3439.81 652.837 1067.44
1004.38 2503.95 1518.2
822.956 1073.3 3152.73
1094.84 1155.85 2599.55
681.761 0.753543 4215.92
790.414 3894.06 472.845
1280.55 1731.34 1384.15
1751.42 2404.21 747.423
3598.72 423.106 1262.5
2908.75 1535.99 735.526
668.412 2597.45 2084.15
2306.5 153.593 2751.53
2142.12 703.684 2501.5
14.8877 4240.83 994.83
669.23 2072.33 1686.36
2503.68 27.6786 2530.65
1045.19 2029.17 1314.5
1087.72 640.505 2953.37
218.154 3049.11 1195.3
8.61496 3940.71 331.581
1043.71 3158.3 887.535
1853.89 1450.58 1798.56
1194.24 6.29478 3530.33
165.065 5010.95 280.479
3782.11 5.67745 1521.08
2019.08 314.375 2605.93
218.154 3049.11 1195.3
1058.01 1943.32 1674.77
1655.54 574.057 2717.83
3543.54 342.141 1592.06
1751.42 2404.21 747.423
578.178 3967.98 253.501
2064.73 2419.03 839.113
2020.21 2126.09 1043.85
2757.31 326.959 2049.26
299.779 3396.79 1224.32
681.761 0.753543 4215.92
1389.42 998.544 3168
290.086 249.967 4651.92
220.336 3764.85 1194.34
2083.37 325.294 2569.22
966.096 989.971 2427.89
357.571 3266.53 834.119
2964.28 197.286 1684.91
3048.08 953.789 1245.09
1211.67 1975.36 2835.4
2975.61 499.978 1329.54
447.233 2047.8 2027.71
829.914 818.775 3013.92
1861.12 978.888 2266.2
546.015 4646.51 57.9294
2640.01 702.049 1638.96
2415.89 2126.17 215.165
1365.78 423.691 2798.04
44.2629 24.7869 5369.98
718.879 459.026 3931.33
1280.55 1731.34 1384.15
1498.35 3237 315.598
2454.98 1190.22 1440.98
1916.37 88.4768 3196.11
5549.62 86.6158 94.5658
664.82 3805.52 864.883
1535.97 3470.24 431.841
3048.08 953.789 1245.09
3169.88 4.35677 2132.2
3313.8 999.116 328.382
1532.01 345.711 3272.48
120.334 69.7593 5050.48
