0 0.00288003
259.91 322.23 2091.03
117.341 2151.02 209.47
422.447 291.213 1936.68
417.969 569.481 1493.68
308.335 138.514 1917.96
92.4991 16.4878 2906.07
563.562 1004.16 610.394
1113.3 1302.46 280.153
369.133 105.852 2138.96
450.846 1817.45 315.106
1224.78 1349.41 128.383
155.046 646.515 1859.31
0.0680635 0.170642 3159.28
1378.93 474.195 733.409
269.883 1989.4 550.757
195.885 223.909 2400.83
516.606 781.608 1402.21
83.5153 357.249 2296.94
1082.43 293.438 960.085
10.302 31.847 2682.87
1546.16 1113.93 37.1852
434.351 94.8474 1657.33
358.949 264.442 1892.45
968.664 360.58 1151.53
1525.4 164.273 1092.75
668.732 277.091 1250.79
99.4842 1.41071 2680.97
200.97 1757.8 669.641
571.661 950.675 1763.84
14.3073 72.139 2634.25
1711.62 8.02139 974.527
208.688 175.856 2431.33
19.115 146.761 2622.02
1864.8 554.697 147.695
1504.68 665.903 760.321
829.498 749.843 950.054
985.793 674.888 1137.91
392.378 478.294 1571.16
530.892 614.778 1406.54
121.708 67.0591 2485.75
115.915 93.5842 2392.34
331.534 316.148 2142.36
591.927 1032.26 1022.23
105.573 3184.82 312.658
62.6566 77.1696 2599.75
1140.98 618.109 528.279
526.399 545.824 1791.92
1170.97 100.274 1392
1258.45 109.153 1403.85
117.772 452.847 1970.96
1489.3 721.926 514.984
1312.63 129.406 805.304
999.753 266.071 854.406
218.679 50.3414 2255.54
1418.07 715.229 360.758
1127.59 277.952 1393.19
1.06969 0.684411 2571.59
495.629 435.111 1751.39
562.923 447.281 1178.78
17.9292 173.499 3021.68
816.164 762.162 1406.12
398.726 143.842 1998.65
1789.1 216.582 420.412
12.0719 17.2427 2916.43
876.221 1053.18 434.848
643.993 392.43 1503.27
368.617 868.673 1523.72
425.751 1029.33 769.239
428.961 308.905 2150.89
409.916 97.9237 1834.02
1801.12 387.706 295.395
2026.29 156.519 113.537
402.176 830.756 990.385
120.016 718.79 1374.97
844.852 1039.28 1094.72
12.1731 342.798 2348.81
1725.68 239.727 413.806
24.5236 401.518 2079.69
255.28 1017.51 1031.54
1293.03 486.287 444.193
275.2 665.399 2096.56
1538.01 957.82 19.3493
339.785 800.349 1483.28
736.818 108.271 1706.83
432.962 827.43 1114.46
27.4642 8.41383 2452.42
525.324 1241.93 659.821
140.575 1055.29 1710.02
850.885 113.946 1483.99
242.323 168.862 1914.06
968.248 1113.61 512.319
29.6389 253.265 2551.42
1281.84 533.669 681.859
2689.85 58.2113 244.539
742.59 432.574 1463.32
60.402 613.291 1935.04
47.9505 1.28989 2225.16
467.727 103.74 1829.79
71.3141 1803.73 570.127
11.3239 1980.13 1133.99
616.71 109.526 1770.13
482.831 634.865 1296.05
1367.91 606.287 1216.93
605.262 79.9134 2184.64
319.531 194.998 2225.9
1793.85 191.984 310.279
1577.95 44.0786 865.732
1126.44 1162.82 19.5481
697.786 1562.48 43.1543
177.064 195.476 2063.65
118.384 338.788 2434.13
266.136 154.784 2040.07
343.758 1672.56 480.789
68.1959 2333.57 282.738
6.89899 223.766 2472.28
7.66864 1030.23 1765.67
417.381 1335.84 799.511
158.619 1300.51 954.922
581.582 608.395 1442.86
325.335 702.636 1195.27
233.404 466.313 1880.59
844.255 1134.54 579.852
654.38 604.804 1056.61
191.459 1482.2 1017.61
1106.45 29.0198 1204.53
387.717 263.827 2029.84
1106.98 1378.27 73.7905
1187.65 1307.77 183.621
1576.43 185.877 780.265
918.426 1062.95 421.613
1583.72 399.618 537.284
69.261 798.506 1306.4
680.057 89.9044 1823.27
921.143 712.821 931.004
542.044 585.787 1323.85
2020.21 148.991 666.609
280.548 1292.07 1002.84
611.745 488.895 1532.41
400.713 521.436 1798.56
324.347 1420.71 471.448
274.23 280.711 1965.64
2042.09 306.563 479.396
268.824 84.0913 2265.43
171.901 308.13 2097.46
1567.17 134.599 1118.11
224.258 2053.94 582.502
90.6087 193.073 2231.25
998.584 1256.73 549.076
434.756 1897.92 538.916
1119.5 1083.9 256.881
809.168 826.587 1141.1
127.475 515.897 2102.73
506.301 2069.3 105.163
424.154 950.119 1444.28
