9074 21.5672
0.827061 3.24882e-284 3.85452
0.01739 0.741601 3.49738
4.18619 9.51259e-284 0
0.074888 3.04371 0
1.61687 2.36753e-284 3.02581
3.62094 3.58112e-283 0
3.12753 2.93248e-280 1.36961
3.12753 2.93248e-280 1.36961
0.551568 0.396872 3.16754
2.65675 1.9138 1.43382
0.0382821 1.50266 2.81277
2.93962 1.10323e-36 7.31411e-17
0.965288 1.20911 2.89117
1.17127 0.84395 2.70862
3.12753 2.93248e-280 1.36961
0.965288 1.20911 2.89117
2.56694 6.03741e-283 2.0768
0.0708873 2.24503 1.81899
3.17751 6.28829e-283 0.33124
0.0857661 2.70214 0
2.05181 1.47675 2.04548
1.64898 2.48645 0
1.79175 2.23783 6.73954e-05
0.0666379 2.79125 2.25543
0.074888 3.04371 0
2.95924 2.13028 0
2.77368 2.0012 0.356844
0.0708873 2.24503 1.81899
3.62186 1.54078e-283 2.64653e-136
3.94669 1.35725e-283 0
3.94669 1.35725e-283 0
2.2591 8.4747e-37 1.82471
0.364623 0.551088 3.10844
1.64898 2.48645 0
0.0857661 2.70214 0
1.39876 7.14278e-281 2.61362
0.798272 4.53927e-284 3.73471
0.364623 0.551088 3.10844
2.05181 1.47675 2.04548
1.79175 2.23783 6.73954e-05
2.2591 8.4747e-37 1.82471
1.79175 2.23783 6.73954e-05
3.94669 1.35725e-283 0
1.58879 7.02014e-282 2.98297
2.90757 3.32292e-284 2.34709
0.402756 0.50378 3.02995
0.551568 0.396872 3.16754
1.27873 1.93101 1.87323
2.05181 1.47675 2.04548
0.965288 1.20911 2.89117
1.17127 0.84395 2.70862
0.689982 2.03327e-283 3.24918
1.27873 1.93101 1.87323
0.0176136 0.716232 3.38988
0.798272 4.53927e-284 3.73471
0.798272 4.53927e-284 3.73471
0.0215533 0.682023 3.20398
1.27873 1.93101 1.87323
3.12753 2.93248e-280 1.36961
1.79175 2.23783 6.73954e-05
0.741269 8.20243e-284 3.48339
1.79175 2.23783 6.73954e-05
0.798272 4.53927e-284 3.73471
0.402756 0.50378 3.02995
