2510 28.1632
1.34851e-32 2.20228e-16 3.5966
4.24615 5.26158e-30 5.26158e-30
0.481168 4.37072e-08 1.19849
1.36068 1.68608e-30 2.26694e-56
1.10044e-16 5.49002e-53 1.79716
1.52683e-16 2.70086e-16 5.06686
2.36995e-16 1.46193e-39 3.87042
7.41892e-17 1.2116 0
2.08391 5.49516e-65 0.116689
3.02548 0 0
6.07574 3.96029e-32 1.34401e-63
0.560277 2.72858 1.57427e-167
7.97118e-33 1.30179e-16 2.12599
4.22866 4.77023e-58 7.88684e-21
1.11074 1.48054 4.01366e-87
1.24092e-16 0 2.02657
1.70321 0.00290299 1.60281e-25
3.25211 5.80502e-09 7.39104e-19
3.55812 0.000154375 1.70357e-52
3.14307e-16 5.43325e-47 5.13302
1.31862 0.671946 0
1.34757 1.19206e-15 1.66983e-30
1.5438 2.13878e-99 6.82405
5.77442 3.0576e-32 3.19249e-45
1.37007 1.69771e-30 0.0210433
2.08674e-16 0 3.40791
4.38819 1.9003e-09 4.65844e-08
1.4577e-16 7.3337e-51 2.38061
9.76364e-17 1.20985e-46 1.59452
5.10885 0 6.33058e-30
3.51736e-16 0 5.74429
8.01727e-17 1.30932 2.15941e-17
3.3609 4.16463e-30 4.16463e-30
1.16033e-16 1.89497 2.34813e-30
7.77229e-17 3.66303e-63 1.26931
4.22818 5.2393e-30 9.35404e-11
7.6035e-17 1.52011e-48 1.24175
4.5581 1.23576e-12 3.09205
2.17465 1.33448e-09 0
5.62448 6.96952e-30 1.31641
2.40977e-16 2.56421e-69 3.93545
1.85558 0.987022 2.81136e-24
5.03933e-16 4.02314e-26 8.22985
0.0378145 0.00567377 3.51244
1.67681e-16 2.73844 3.3933e-30
1.53841 4.38234e-14 0.956161
2.15681 3.61484e-14 1.57882
1.21071e-16 1.50024e-46 1.97725
0.46409 5.75096e-75 1.21402
2.06238e-16 3.36812 5.93316e-96
1.22621 9.51165e-86 0.483566
3.43194 4.25266e-30 5.83988e-32
2.13113 1.24828e-31 5.14677e-40
1.6814e-16 2.74594 1.05564e-18
2.14108e-16 2.6531e-46 3.49665
9.87788e-17 2.85265e-28 1.61318
2.00374 2.27771e-10 0.000364004
2.16538 3.67207e-16 2.68321e-30
0.744604 1.63065 0
2.92113 3.61968e-30 7.55329e-14
1.72251e-32 2.81308e-16 4.59411
6.70942e-16 0 10.9573
1.53785 2.26842e-109 1.90561e-30
1.5511 0.00072729 1.03793e-16
0.707862 1.00526 6.473e-12
0.19016 1.06267e-45 1.56555
4.13632 1.82453e-38 1.77368e-19
1.1766 0 1.22203e-43
1.04539e-16 1.70726 2.11553e-30
1.16018 2.66405e-30 0.479663
1.33901 1.65922e-30 7.51807e-09
1.21816e-16 1.98941 1.01322e-47
1.11344e-16 3.7268e-51 1.81839
1.71436e-16 5.61874e-61 2.79976
2.16693e-16 4.22806e-24 3.53887
0.555462 1.31962e-37 1.98526
9.79246e-17 1.59923 3.87946
1.04442e-16 7.16804e-103 1.70567
6.41892 7.95394e-30 0.00022527
2.60563 0 1.1745e-06
3.36457 3.44021e-170 0.529575
1.63593 5.90718e-55 0.0102722
2.53516 1.0384e-29 2.06136e-34
2.85191e-16 4.65753 2.11204
1.2754e-16 2.32658e-28 2.08288
1.38717e-16 2.26542 1.56327e-72
1.53392 0.333129 0
3.98861 5.4012e-48 6.08481e-06
2.55681 1.88749e-152 0.32367
1.70332 0 0.136256
1.33448 1.6536e-30 0.00064239
3.04626 9.7553e-09 0.520609
1.17306 7.45796e-60 0.781898
1.8042e-16 2.23566e-46 2.94649
1.26472 1.51759e-21 4.8747e-08
1.77602e-16 3.64355e-41 2.90046
1.8309 2.26874e-30 0
1.69846e-16 2.77379 6.6542e-32
2.19046 0 2.71429e-30
1.63701 2.01243e-56 0.420422
1.55734 2.26917e-26 3.91942e-08
2.10522 2.60866e-30 4.09935e-21
1.07479 1.98939e-56 1.32273
9.24252e-17 0 1.50942
1.79351e-16 2.92902 3.62946e-30
1.42943 1.72387e-29 0.556459
1.60501 7.41467e-101 0.952634
1.1864e-16 1.47012e-46 1.93754
2.04778 0 6.21605e-13
1.27547 1.86855e-08 8.65153e-21
1.26544 0 2.56134
1.25595e-16 1.0541e-30 2.05113
1.27743 4.83925e-37 1.58292e-30
5.92645e-16 9.67862 2.17164e-31
1.91619 0.0133319 2.9383e-46
3.94712e-16 7.30359e-47 6.44613
3.0332e-16 0 4.9536
