129 3.10412
1.47688 0.75369 0.145332
1.14662 1.11977 1.63659e-07
0.752918 1.47717 0.16829
2.85983e-11 1.46635e-11 1.65771
2.37252e-11 2.31295e-11 1.67691
1.4632e-11 2.75593e-11 1.60945
0.478742 0.250988 1.53408
0.211702 0.416301 1.60316
0.741688 1.46925 0.339004
0.476306 0.255108 1.5031
1.24407 1.01694 0.472839
0.994168 0.97061 0.822601
0.255372 0.482777 1.51933
0.31571 0.431352 1.51705
0.612541 1.22333 0.995922
0.393251 0.383842 1.52871
0.453809 0.894758 1.33956
0.429984 0.35589 1.55272
0.70122 0.979537 1.13776
0.70647 1.34308 0.573316
0.331173 0.323025 1.58801
1.40331 0.852068 1.67646e-07
1.32393 0.942702 0.262626
0.754106 1.43404 0.0880183
0.719566 1.42719 0.524485
0.691873 0.359178 1.44313
0.830901 1.15903 0.876221
0.627684 1.19714 0.904969
0.687917 1.39291 0.720519
1.36187 0.722461 0.599863
0.485889 0.912152 1.2279
1.37458 0.844355 0.141399
1.29658 0.687328 0.765858
1.16482 0.610594 0.95737
1.33103 0.685916 0.694477
0.58372 1.12154 1.03974
0.549439 1.05595 1.12423
0.553643 0.540355 1.43217
0.444614 0.325561 1.56393
1.13751 0.584128 1.05156
1.41872 0.747062 0.234535
0.449352 0.611572 1.40491
1.39604 0.73921 0.325374
0.801333 1.10804 0.915497
0.78916 1.10159 0.986446
1.17235 0.980242 0.656071
1.06595 1.04125 0.562952
0.896748 1.2464 0.580085
0.519827 0.908742 1.24385
0.824359 0.896629 1.10389
1.17806 0.856671 0.675573
1.21437 0.628137 0.91534
0.871094 0.621831 1.27159
0.850697 1.1717 0.75566
0.669464 1.27136 0.749867
0.211702 0.416301 1.60316
0.367383 0.398216 1.50721
1.24698 1.0458 0.238057
1.44528 0.755391 1.66527e-07
1.32594 0.671089 0.775567
1.0865 0.782798 0.896541
1.23557 0.649744 0.8265
0.580184 0.490478 1.40643
1.39987 0.850552 0.0889842
1.2206 1.00837 0.500872
0.950457 1.31257 0.261866
1.15346 0.832957 0.742523
0.687917 1.39291 0.720519
0.770462 0.728168 1.25953
0.962887 0.801071 1.03003
0.649256 0.401584 1.41326
0.6615 0.639161 1.31613
1.05583 0.745238 1.06276
0.359126 0.688337 1.43727
1.02403 0.7192 1.13412
0.837972 0.818189 1.10613
0.947435 1.02898 0.828117
0.909837 1.24762 0.488499
0.621465 0.868536 1.26887
0.911849 0.989852 0.901033
1.09377 0.915374 0.844426
0.784742 0.765493 1.23414
0.617212 0.457638 1.42242
1.05156 1.02562 0.766595
1.42575 0.72172 0.505543
0.930708 0.474191 1.29886
0.83225 1.16515 0.847733
0.963605 0.930846 0.896978
0.331173 0.323025 1.58801
0.876741 0.453162 1.31776
0.560868 1.10395 1.12225
0.485889 0.912152 1.2279
0.79166 0.56773 1.30074
1.09167 0.560384 1.11214
1.362 0.70697 0.579737
1.05795 0.549408 1.1259
0.650972 1.26998 0.844917
0.726427 1.4381 0.474112
0.909863 0.887649 1.04531
1.06982 1.01233 0.683109
1.11463 0.93535 0.759386
0.746239 1.43877 0.261902
0.95347 1.31939 1.66228e-07
1.07747 1.17006 0.327624
0.92629 0.486285 1.24297
0.527177 0.57315 1.4416
1.38402 0.716579 0.523108
1.39094 0.744509 0.254934
2.84959e-11 1.49237e-11 1.62799
1.41612 0.77243 1.6472e-07
1.17216 0.98353 0.595386
0.748721 1.46602 0.240789
1.32542 0.94891 1.66456e-07
0.760152 0.741535 1.26169
1.32594 0.671089 0.775567
0.955417 0.921986 0.966529
0.876741 0.453162 1.31776
1.11463 0.93535 0.759386
0.930708 0.474191 1.29886
0.962887 0.801071 1.03003
1.24467 0.897411 0.485435
0.580184 0.490478 1.40643
1.39914 0.696326 0.670956
0.787665 1.1092 0.990324
1.03007 0.755248 1.05037
0.949817 0.926721 0.966004
0.748721 1.46602 0.240789
0.527177 0.57315 1.4416
1.88576e-11 2.58609e-11 1.61983
1.24486 1.04622 0.142531
0.669464 1.27136 0.749867
1.39914 0.696326 0.670956
1.16706 0.826719 0.846756
1.16706 0.826719 0.846756
1.15051 1.10901 0.505535
1.03007 0.755248 1.05037
1.38402 0.716579 0.523108
0.955417 0.921986 0.966529
1.45726 0.755781 1.67631e-07
1.15244 1.12524 1.64474e-07
0.754588 1.50172 0.14731
2.87095e-11 1.4667e-11 1.6629
2.38417e-11 2.32389e-11 1.685
1.46339e-11 2.76145e-11 1.61201
0.479217 0.251004 1.53529
0.255457 0.48529 1.52563
2.91681e-11 1.49453e-11 1.6587
1.27154 0.907732 0.494246
0.96484 1.34814 1.69289e-07
0.323101 0.443372 1.52615
1.34868 0.686468 0.70188
0.695973 0.35931 1.44998
0.900678 1.25634 0.584
1.10201 1.20051 0.335661
0.398178 0.384328 1.53949
0.58444 1.14409 1.05649
0.755486 1.4766 0.0901053
0.652334 1.31493 0.869043
1.13931 0.550322 1.20234
1.26612 0.885277 0.716532
1.42492 0.747268 0.235351
0.487306 0.955382 1.27422
0.957308 1.32951 0.264734
0.612661 1.22739 0.998611
0.542194 0.591784 1.48582
0.994521 0.969666 0.929932
1.10721 1.07927 0.663816
0.936511 0.912669 1.07537
0.371279 0.40305 1.52444
1.41382 0.739803 0.328672
0.553755 0.540459 1.43245
1.28073 0.651188 0.850646
1.1162 0.794202 0.917154
0.720321 0.702216 1.34317
0.859916 1.1945 0.768121
1.05943 1.03301 0.772228
0.801983 0.571693 1.31503
0.917728 0.997147 0.907292
1.17689 0.610988 0.965295
0.453812 0.894846 1.33967
0.855592 0.834733 1.12895
0.671633 1.33982 0.782164
0.886686 0.864531 1.12238
0.788465 1.11123 0.991863
0.704144 0.986934 1.14505
1.21285 0.855752 0.774658
1.15238 1.12512 0.0874925
0.819161 1.16433 0.953105
0.83235 1.16262 0.878531
0.359835 0.710702 1.4747
1.17466 0.985112 0.596529
1.06727 1.04126 0.691555
1.39698 0.708067 0.591685
0.753034 1.48092 0.168635
1.28073 0.651188 0.850646
0.62794 1.2049 0.909649
0.967365 0.487583 1.28707
0.255457 0.48529 1.52563
0.989444 0.502603 1.24935
1.19999 0.87441 0.77488
0.765262 0.746333 1.27002
0.989444 0.502603 1.24935
1.1309 1.09 0.593386
1.16679 0.585024 1.07337
1.14697 1.25305 0.0922826
0.598756 0.500231 1.47431
0.553755 0.540459 1.43245
0.753034 1.48092 0.168635
0.54944 1.05596 1.12425
1.09455 1.03374 0.698269
0.396007 0.386429 1.53922
0.458863 0.641495 1.46009
0.458863 0.641495 1.46009
1.90121e-11 2.62429e-11 1.64007
1.14697 1.25305 0.0922826
0.67973 0.74128 1.34288
0.720321 0.702216 1.34317
0.965895 1.33883 0.0896835
1.47924 0.756477 1.69659e-07
1.17784 1.14909 1.68032e-07
0.753266 1.48848 0.16933
2.94155e-11 1.46883e-11 1.6959
1.93311e-11 2.74243e-11 1.73066
1.46358e-11 2.76711e-11 1.61464
0.328087 0.455701 1.56207
1.41876 0.739964 0.329589
0.483529 0.251144 1.54633
2.94244e-11 1.49532e-11 1.67043
1.18161 0.986082 0.660727
0.805602 0.573082 1.32005
1.2086 0.611982 0.986165
0.959213 1.33423 0.265532
1.35636 0.686703 0.705107
0.705645 0.359613 1.46617
0.889456 0.867131 1.12582
0.554253 0.540927 1.43372
0.715544 1.01579 1.17351
0.628055 1.20843 0.911784
0.97482 1.37343 0.0145144
1.10907 1.08051 0.718147
1.01305 0.975986 0.941786
0.628055 1.20843 0.911784
0.453815 0.894969 1.33982
0.58451 1.14634 1.05816
0.396082 0.3865 1.53951
1.16704 1.12674 0.142187
0.731444 0.712659 1.36354
1.07233 1.04512 0.781461
0.98794 1.4066 1.75524e-07
0.549707 1.06421 1.13128
0.375239 0.407964 1.54196
0.459427 0.642921 1.46285
1.07233 1.04512 0.781461
0.945116 1.03113 0.936452
1.16447 1.13637 0.142613
0.889456 0.867131 1.12582
1.94647e-11 2.73628e-11 1.69947
1.45604 0.741147 0.336526
1.17948 1.15063 1.68262e-07
0.75421 1.52007 0.17224
1.46567e-11 2.83036e-11 1.64404
1.20964 0.612014 0.986853
0.550364 1.08513 1.14915
0.585749 1.18774 1.08905
1.16601 1.13781 0.142798
0.338712 0.330104 1.6235
0.56116 0.547412 1.45125
0.484408 0.251173 1.54858
0.460175 0.644813 1.4665
0.379081 0.412731 1.55896
0.396508 0.3869 1.54113
1.4564 0.741158 0.336593
1.18032 1.15142 1.68379e-07
1.46694e-11 2.87232e-11 1.66359
0.592899 0.577212 1.53183
1.2253 0.612483 0.997189
0.550578 1.09216 1.15517
1.17103 1.14214 0.264327
1.49489e-11 2.91963e-11 1.66005
0.381432 0.415649 1.56936
0.512365 0.252018 1.62049
0.398514 0.388784 1.54879
0.497581 0.255813 1.55642
1.45837 0.741218 0.336961
1.18864 1.15923 1.69545e-07
1.46729e-11 2.88152e-11 1.6679
0.398753 0.389008 1.5497
1.17985 1.15042 0.266281
0.497826 0.25582 1.55703
1.19843 1.15539 0.145911
1.46108 0.741301 0.337466
1.20913 1.1784 0.0917202
1.46765e-11 2.8932e-11 1.67335
0.40064 0.390779 1.5569
1.18675 1.1569 0.267811
0.503645 0.256001 1.57167
1.21289 1.18189 0.119744
1.4686e-11 2.92438e-11 1.68793
0.402476 0.392504 1.5639
1.49719e-11 2.99498e-11 1.6946
