12431 90.0003
0.253207 0.000897739 5.88945
1.55226e-05 2.37847e-05 6.39778
0.000250489 0.000970655 6.32393
0.244447 4.49149e-06 5.9176
0.0132007 2.28907e-06 6.3413
0.783619 0.00131448 4.85695
0.163349 0.00114595 5.97094
0.728537 0.000501595 5.19747
0.182096 0.000925829 5.94536
0.799907 0.000211036 4.76685
0.0355085 0.000511432 6.27168
0.646911 0.000766965 5.79778
0.0499833 0.000774139 6.24322
0.0157117 0.00113137 6.29885
0.225447 0.00102817 5.89355
0.101731 0.000785683 6.12714
0.678244 0.000879463 5.58392
0.698769 1.96662e-05 5.47861
0.11286 0.0008895 6.09863
0.755323 0.000692473 5.01657
0.664032 5.30034e-05 5.71184
0.701103 0.00104524 5.42714
0.829031 0.00032357 4.67594
0.657118 0.000518189 5.74626
0.737289 0.000167433 5.15527
0.771312 0.000369209 4.92377
0.743641 0.000619695 5.10611
0.686475 0.000823537 5.53217
0.670711 0.000760643 5.63789
0.692814 0.0007473 5.47838
0.152523 0.000777076 6.00344
0.0672908 0.000817089 6.21011
0.14317 0.000564137 6.03082
0.793083 0.000946114 4.80343
0.709178 0.000503834 5.36519
0.0769084 0.000913475 6.17842
0.208346 5.97821e-05 5.93639
0.822601 0.000237281 4.70325
0.25216 0.000512057 5.89912
0.841533 0.00111977 4.6552
0.164733 6.93296e-07 6.05066
0.0855097 0.000581992 6.16876
0.112951 5.96762e-05 6.15005
0.762133 0.000448989 4.99007
0.712855 0.00089694 5.32683
0.732133 3.21043e-06 5.27236
0.798335 1.57606e-05 4.79448
0.202978 0.000770942 5.92291
0.718326 0.00079906 5.28617
0.722768 0.000587848 5.25804
0.750469 0.000372392 5.07683
0.643357 0.00049509 5.84724
0.816977 0.000614311 4.73725
0.665859 0.00100917 5.67912
0.129851 0.000867058 6.05838
0.212975 0.000827658 5.91165
0.135887 0.000124621 6.07074
0.769565 6.02908e-05 4.97022
0.778026 4.39289e-06 4.93009
0.127624 0.00090336 6.06949
0.853298 0.00048219 4.65226
0.299849 2.9602e-10 6.40242
1.21698e-07 0.00110564 7.39961
0.104165 0.00124695 6.22038
0.186249 0.000999518 6.10578
0.472333 0.00075052 6.41829
0.203454 0.000706399 6.02805
0.246214 0.000882573 5.98845
0.0635765 0.000881186 6.35886
0.468328 8.42006e-06 6.49225
0.339063 0.000914384 6.11815
